player_id,name,last_season,current_club_id,country_of_birth,age,sub_position,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name
183124,Milos Antic,2012,398,Switzerland,28,Central Midfield,Midfield,right,185.0,IT1,SS Lazio
183286,Diego Poyet,2015,379,Spain,28,Central Midfield,Midfield,right,180.0,GB1,West Ham United
183397,Mike van Duinen,2022,798,Netherlands,31,Centre-Forward,Attack,both,185.0,NL1,Excelsior Rotterdam
183510,Nikolay Signevich,2021,441,Belarus,31,Centre-Forward,Attack,right,194.0,GR1,Apollon Smyrnis
184171,Nebojsa Kosovic,2014,3057,Yugoslavia (Republic),28,Central Midfield,Midfield,right,177.0,BE1,Standard Liège
184243,Ümit Kurt,2016,126,Turkey,32,Centre-Back,Defender,left,188.0,TR1,Caykur Rizespor
184935,Kalifa Coulibaly,2021,995,Mali,31,Centre-Forward,Attack,right,197.0,FR1,FC Nantes
184953,Chidi Osuchukwu,2016,1075,Nigeria,29,Central Midfield,Midfield,left,176.0,PO1,SC Braga
185024,Georgiy Dzhikiya,2022,232,Russia,29,Centre-Back,Defender,left,188.0,RU1,Spartak Moscow
185566,Anouar Kali,2018,132,Netherlands,32,Defensive Midfield,Midfield,left,172.0,NL1,NAC Breda
186059,Artem Shchadin,2018,1083,Russia,30,Left-Back,Defender,both,175.0,RU1,FK Rostov
186357,André Luiz,2012,979,Brazil,37,Right Winger,Attack,right,167.0,PO1,Moreirense FC
186380,Jakub Hromada,2013,252,Slovakia,27,Defensive Midfield,Midfield,right,180.0,IT1,Genoa CFC
186769,Andriy Popovych,2020,61825,Ukraine,31,Goalkeeper,Goalkeeper,left,192.0,UKR1,FK Minaj
186790,Sinan Bytyqi,2016,1435,Yugoslavia (Republic),28,Attacking Midfield,Midfield,right,185.0,NL1,Go Ahead Eagles
186848,Giorgi Aburjania,2022,2424,Georgia,28,Defensive Midfield,Midfield,both,186.0,PO1,Gil Vicente FC
186922,Rodrigo Lindoso,2013,1301,Brazil,33,Defensive Midfield,Midfield,right,182.0,PO1,CS Marítimo
187359,Ben Garuccio,2019,43,Australia,27,Left-Back,Defender,both,174.0,SC1,Heart of Midlothian FC
187674,Sergio Rodríguez,2013,150,Spain,30,Attacking Midfield,Midfield,both,169.0,ES1,Real Betis Balompié
187947,Danilo,2012,1085,Brazil,34,Defensive Midfield,Midfield,right,181.0,PO1,Vitória Setúbal FC
188905,Stanley Elbers,2019,235,Netherlands,31,Right Winger,Attack,right,173.0,NL1,RKC Waalwijk
188915,Naomichi Ueda,2020,1160,Japan,28,Centre-Back,Defender,right,186.0,FR1,Nîmes Olympique
189744,Paul Nardi,2022,157,France,29,Goalkeeper,Goalkeeper,right,188.0,BE1,KAA Gent
190029,Nikita Vasiljev,2012,1083,Russia,31,Defensive Midfield,Midfield,right,183.0,RU1,FK Rostov
190358,Ivan Knyazev,2015,11127,Russia,30,Centre-Back,Defender,right,188.0,RU1,Ural Yekaterinburg
190911,Khassa Camara,2019,128,France,30,Defensive Midfield,Midfield,right,175.0,GR1,AO Xanthi
191258,Joe Gormley,2016,2578,Northern Ireland,33,Centre-Forward,Attack,right,183.0,SC1,St. Johnstone FC
191320,Sean Maguire,2013,379,England,29,Centre-Forward,Attack,right,175.0,GB1,West Ham United
191830,Renato Ibarra,2015,499,Ecuador,32,Right Winger,Attack,right,175.0,NL1,Vitesse Arnhem
191853,Giannis Anestis,2022,6418,Greece,32,Goalkeeper,Goalkeeper,right,198.0,GR1,Panetolikos GFS
191870,Gary Warren,2016,2451,England,38,Centre-Back,Defender,right,188.0,SC1,Inverness Caledonian Thistle FC
191891,Arkadiusz Milik,2022,506,Poland,29,Centre-Forward,Attack,left,186.0,IT1,Juventus FC
191895,Rafal Kurzawa,2019,3426,Poland,30,Defensive Midfield,Midfield,left,182.0,DK1,Esbjerg fB
192268,Niklas Klinger,2022,82,Germany,27,Goalkeeper,Goalkeeper,right,187.0,L1,VfL Wolfsburg
192886,Charles-Élie Laprevotte,2013,60,France,30,Defensive Midfield,Midfield,right,181.0,L1,SC Freiburg
192921,Ruslan Bolov,2016,16704,Russia,29,Centre-Forward,Attack,right,182.0,RU1,FK Krasnodar
